dataset,path,key_col,build,n_col,sample_size,snp_col,a1_col,a2_col,beta_col,se_col,p_col,chr_col,pos_col,eaf_col,parent_dataset
ukb_ppp,dat/pqtl/ukb_ppp/*.parquet,,GRCh38,,54219,SNP,A1,A2,BETA,SE,P,CHR,BP,FRQ,
decode,dat/pqtl/deCODE/*.parquet,,GRCh38,,35559,SNP,A1,A2,BETA,SE,P,CHR,BP,MAF,
wu_csf,dat/pqtl/wu_csf/*.parquet,,GRCh38,,3506,SNP,A1,A2,BETA,SE,P,CHR,BP,FRQ,
wingo_brain,dat/pqtl/wingo_brain/*.parquet,,GRCh38,,1013,SNP,A1,A2,BETA,SE,P,CHR,BP,FRQ,
metabrain,dat/bulk-eQTL/MetaBrain/BrainMeta_cis_eQTL.parquet,Gene,GRCh37,N,2865,SNP,A1,A2,b,SE,p,Chr,BP,Freq,
gtex_brain_amygdala_v10,dat/bulk-eQTL/GTEx_v10/Brain_Amygdala/Brain_Amygdala.parquet,Gene,GRCh38,N,180,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_anterior_cingulate_cortex_ba24_v10,dat/bulk-eQTL/GTEx_v10/Brain_Anterior_cingulate_cortex_BA24/Brain_Anterior_cingulate_cortex_BA24.parquet,Gene,GRCh38,N,233,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_caudate_basal_ganglia_v10,dat/bulk-eQTL/GTEx_v10/Brain_Caudate_basal_ganglia/Brain_Caudate_basal_ganglia.parquet,Gene,GRCh38,N,300,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_cerebellar_hemisphere_v10,dat/bulk-eQTL/GTEx_v10/Brain_Cerebellar_Hemisphere/Brain_Cerebellar_Hemisphere.parquet,Gene,GRCh38,N,277,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_cerebellum_v10,dat/bulk-eQTL/GTEx_v10/Brain_Cerebellum/Brain_Cerebellum.parquet,Gene,GRCh38,N,266,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_cortex_v10,dat/bulk-eQTL/GTEx_v10/Brain_Cortex/Brain_Cortex.parquet,Gene,GRCh38,N,270,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_frontal_cortex_ba9_v10,dat/bulk-eQTL/GTEx_v10/Brain_Frontal_Cortex_BA9/Brain_Frontal_Cortex_BA9.parquet,Gene,GRCh38,N,269,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_hippocampus_v10,dat/bulk-eQTL/GTEx_v10/Brain_Hippocampus/Brain_Hippocampus.parquet,Gene,GRCh38,N,255,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_hypothalamus_v10,dat/bulk-eQTL/GTEx_v10/Brain_Hypothalamus/Brain_Hypothalamus.parquet,Gene,GRCh38,N,257,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_nucleus_accumbens_basal_ganglia_v10,dat/bulk-eQTL/GTEx_v10/Brain_Nucleus_accumbens_basal_ganglia/Brain_Nucleus_accumbens_basal_ganglia.parquet,Gene,GRCh38,N,285,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_putamen_basal_ganglia_v10,dat/bulk-eQTL/GTEx_v10/Brain_Putamen_basal_ganglia/Brain_Putamen_basal_ganglia.parquet,Gene,GRCh38,N,254,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_spinal_cord_cervical_c-1_v10,dat/bulk-eQTL/GTEx_v10/Brain_Spinal_cord_cervical_c-1/Brain_Spinal_cord_cervical_c-1.parquet,Gene,GRCh38,N,204,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_brain_substantia_nigra_v10,dat/bulk-eQTL/GTEx_v10/Brain_Substantia_nigra/Brain_Substantia_nigra.parquet,Gene,GRCh38,N,183,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
gtex_whole_blood_v10,dat/bulk-eQTL/GTEx_v10/Whole_Blood/Whole_Blood.parquet,Gene,GRCh38,N,800,SNP,A1,A2,b,SE,p,Chr,BP,Freq,GTEx_v10
singlebrain,dat/sc-eQTL/SingleBrain/*.parquet,GENE,GRCh38,N,983,SNP,A1,A2,BETA,SE,P,CHR,BP,FRQ,
